DATE,PRCP,TMAX,TMIN,RAIN
1/1/1948,0.47,51,42,TRUE
1/2/1948,0.59,45,36,TRUE
1/3/1948,0.42,45,35,TRUE
1/4/1948,0.31,45,34,TRUE
1/5/1948,0.17,45,32,TRUE
1/6/1948,0.44,48,39,TRUE
1/7/1948,0.41,50,40,TRUE
1/8/1948,0.04,48,35,TRUE
1/9/1948,0.12,50,31,TRUE
1/10/1948,0.74,43,34,TRUE
1/11/1948,0.01,42,32,TRUE
1/12/1948,0,41,26,FALSE
1/13/1948,0,45,29,FALSE
1/14/1948,0,38,26,FALSE
1/15/1948,0,34,31,FALSE
1/16/1948,0,34,28,FALSE
1/17/1948,0,35,29,FALSE
1/18/1948,0,33,28,FALSE
1/19/1948,0,34,27,FALSE
1/20/1948,0,36,29,FALSE
1/21/1948,0,48,32,FALSE
1/22/1948,0.21,47,44,TRUE
1/23/1948,0,47,43,FALSE
1/24/1948,0.1,45,34,TRUE
1/25/1948,0,46,30,FALSE
1/26/1948,0,45,32,FALSE
1/27/1948,0,53,33,FALSE
1/28/1948,0,53,25,FALSE
1/29/1948,0.22,42,34,TRUE
1/30/1948,0.03,47,30,TRUE
1/31/1948,0.21,35,27,TRUE
2/1/1948,0.03,39,30,TRUE
2/2/1948,0,43,26,FALSE
2/3/1948,0.2,38,26,TRUE
2/4/1948,0.14,39,31,TRUE
2/5/1948,0,36,26,FALSE
2/6/1948,0,43,20,FALSE
2/7/1948,0.06,43,27,TRUE
2/8/1948,0.56,44,35,TRUE
2/9/1948,0,45,32,FALSE
2/10/1948,0,39,27,FALSE
2/11/1948,0,46,23,FALSE
2/12/1948,0,43,26,FALSE
2/13/1948,0,47,35,FALSE
2/14/1948,0.5,46,39,TRUE
2/15/1948,0.35,45,37,TRUE
2/16/1948,0.84,52,37,TRUE
2/17/1948,0.13,57,46,TRUE
2/18/1948,0.01,49,32,TRUE
2/19/1948,0,45,30,FALSE
2/20/1948,0.74,45,35,TRUE
2/21/1948,0.46,49,37,TRUE
2/22/1948,0.11,47,38,TRUE
2/23/1948,0,47,36,FALSE
2/24/1948,0.05,44,36,TRUE
2/25/1948,0.98,47,41,TRUE
2/26/1948,0.09,49,37,TRUE
2/27/1948,0,47,35,FALSE
2/28/1948,0,50,32,FALSE
2/29/1948,0,46,34,FALSE
3/1/1948,0.19,47,32,TRUE
3/2/1948,0,50,31,FALSE
3/3/1948,0,52,28,FALSE
3/4/1948,0,57,31,FALSE
3/5/1948,0,47,40,FALSE
3/6/1948,0.06,47,41,TRUE
3/7/1948,0.16,42,34,TRUE
3/8/1948,0.11,42,33,TRUE
3/9/1948,0,47,33,FALSE
3/10/1948,0,51,31,FALSE
3/11/1948,0.08,51,31,TRUE
3/12/1948,0.06,60,37,TRUE
3/13/1948,0.02,54,35,TRUE
3/14/1948,0,52,34,FALSE
3/15/1948,0,52,36,FALSE
3/16/1948,0,50,33,FALSE
3/17/1948,0.01,50,36,TRUE
3/18/1948,0.13,48,35,TRUE
3/19/1948,0,47,33,FALSE
3/20/1948,0.06,44,33,TRUE
3/21/1948,2.04,46,37,TRUE
3/22/1948,0.03,44,30,TRUE
3/23/1948,0,54,31,FALSE
3/24/1948,0.4,54,36,TRUE
3/25/1948,0.33,50,35,TRUE
3/26/1948,0,56,36,FALSE
3/27/1948,0,70,38,FALSE
3/28/1948,0,64,39,FALSE
3/29/1948,0,49,39,FALSE
3/30/1948,0,54,38,FALSE
3/31/1948,0,53,40,FALSE
4/1/1948,0.17,46,37,TRUE
4/2/1948,0.34,45,33,TRUE
4/3/1948,0.03,47,32,TRUE
4/4/1948,0.19,49,31,TRUE
4/5/1948,0.08,51,32,TRUE
4/6/1948,0.09,44,34,TRUE
4/7/1948,0,55,30,FALSE
4/8/1948,0.11,59,32,TRUE
4/9/1948,0.54,50,39,TRUE
4/10/1948,0.18,53,38,TRUE
4/11/1948,0,51,38,FALSE
4/12/1948,0.03,50,39,TRUE
4/13/1948,0.01,59,39,TRUE
4/14/1948,0,63,42,FALSE
4/15/1948,0.33,65,47,TRUE
4/16/1948,0,62,43,FALSE
4/17/1948,0.37,54,44,TRUE
4/18/1948,0,58,41,FALSE
4/19/1948,0,61,37,FALSE
4/20/1948,0,66,39,FALSE
4/21/1948,0.09,55,44,TRUE
4/22/1948,0.24,57,43,TRUE
4/23/1948,0.02,55,42,TRUE
4/24/1948,0.7,46,40,TRUE
4/25/1948,0.02,49,34,TRUE
4/26/1948,0,50,32,FALSE
